TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
49148,BatchInference,RegionD,RegionD,1517,1517,1523.1833333333334,0.0,5.0,False
49149,AITraining,RegionF,RegionE,1240,1240,1245.9166666666667,0.0,18.0,True
49150,AITraining,RegionA,RegionD,1305,1305,1306.15,0.0,65.0,True
49151,RealTimeInference,RegionA,RegionC,1613,1613,1615.4666666666667,0.0,15.0,True
49152,BatchInference,RegionB,RegionD,746,746,749.9166666666666,0.0,60.0,True
49153,BatchInference,RegionC,RegionA,913,913,917.95,0.0,15.0,True
49154,BatchInference,RegionD,RegionD,1801,1801,1802.25,0.0,5.0,False
49155,BatchInference,RegionE,RegionA,1213,1213,1218.9833333333333,0.0,78.0,True
49156,AITraining,RegionF,RegionD,2089,2089,2095.233333333333,0.0,25.0,True
49157,BatchInference,RegionA,RegionE,1351,1435,1436.4166666666667,84.0,78.0,True
49158,RealTimeInference,RegionA,RegionA,1226,1226,1230.7666666666667,0.0,5.0,False
49159,RealTimeInference,RegionB,RegionB,1417,1417,1418.3333333333333,0.0,5.0,False
49160,BatchInference,RegionD,RegionD,460,470,470.35,10.0,5.0,False
49161,BatchInference,RegionD,RegionD,2193,2246,2249.133333333333,53.0,5.0,False
49162,RealTimeInference,RegionC,RegionB,816,816,821.6,0.0,14.0,True
49163,RealTimeInference,RegionA,RegionB,1086,1086,1088.85,0.0,12.0,True
49164,RealTimeInference,RegionA,RegionB,468,468,470.6,0.0,12.0,True
49165,AITraining,RegionD,RegionE,1261,1261,1266.4666666666667,0.0,22.0,True
49166,BatchInference,RegionC,RegionE,729,736,737.8666666666667,7.0,70.0,True
49167,AITraining,RegionE,RegionE,972,972,977.1666666666666,0.0,5.0,False
49168,AITraining,RegionF,RegionB,132,132,132.61666666666667,0.0,79.0,True
49169,RealTimeInference,RegionE,RegionF,644,644,649.2833333333333,0.0,18.0,True
49170,BatchInference,RegionA,RegionD,202,206,208.56666666666666,4.0,65.0,True
49171,BatchInference,RegionB,RegionD,1360,1360,1363.9666666666667,0.0,60.0,True
49172,BatchInference,RegionB,RegionE,1141,1141,1143.5666666666666,0.0,74.0,True
49173,RealTimeInference,RegionB,RegionC,692,692,693.2333333333333,0.0,14.0,True
49174,BatchInference,RegionD,RegionE,1211,1211,1217.35,0.0,22.0,True
49175,RealTimeInference,RegionC,RegionC,709,709,713.2166666666667,0.0,5.0,False
49176,BatchInference,RegionA,RegionE,916,916,922.45,0.0,78.0,True
49177,RealTimeInference,RegionA,RegionC,24,24,29.46666666666667,0.0,15.0,True
49178,AITraining,RegionD,RegionD,1359,1359,1363.4333333333334,0.0,5.0,False
49179,AITraining,RegionD,RegionF,652,652,657.85,0.0,25.0,True
49180,RealTimeInference,RegionB,RegionC,1951,1951,1952.5333333333333,0.0,14.0,True
49181,AITraining,RegionF,RegionE,62,62,65.18333333333334,0.0,18.0,True
49182,AITraining,RegionF,RegionB,1068,1068,1072.4,0.0,79.0,True
49183,AITraining,RegionB,RegionC,613,615,615.4,2.0,14.0,True
49184,BatchInference,RegionB,RegionE,1786,1786,1791.05,0.0,74.0,True
49185,RealTimeInference,RegionB,RegionC,1002,1002,1004.05,0.0,14.0,True
49186,BatchInference,RegionC,RegionF,1913,1913,1918.6666666666667,0.0,76.0,True
49187,BatchInference,RegionD,RegionD,793,793,796.2,0.0,5.0,False
49188,BatchInference,RegionE,RegionF,2136,2136,2136.983333333333,0.0,18.0,True
49189,BatchInference,RegionF,RegionC,542,542,543.8666666666667,0.0,76.0,True
49190,AITraining,RegionC,RegionB,1332,1332,1336.95,0.0,14.0,True
49191,AITraining,RegionD,RegionB,599,599,601.5,0.0,60.0,True
49192,AITraining,RegionD,RegionA,1288,1288,1292.6166666666666,0.0,65.0,True
49193,AITraining,RegionE,RegionF,29,842,842.55,813.0,18.0,True
49194,RealTimeInference,RegionC,RegionC,390,390,390.4,0.0,5.0,False
49195,RealTimeInference,RegionD,RegionD,105,105,106.61666666666666,0.0,5.0,False
49196,RealTimeInference,RegionA,RegionA,929,929,929.4833333333333,0.0,5.0,False
49197,AITraining,RegionD,RegionF,689,689,690.8166666666667,0.0,25.0,True
49198,AITraining,RegionD,RegionF,1976,1976,1977.5333333333333,0.0,25.0,True
49199,AITraining,RegionE,RegionD,1628,1628,1632.45,0.0,22.0,True
49200,AITraining,RegionE,RegionA,1385,1385,1389.5833333333333,0.0,78.0,True
49201,BatchInference,RegionE,RegionD,2333,2333,2337.65,0.0,22.0,True
49202,BatchInference,RegionF,RegionE,1319,1319,1324.7,0.0,18.0,True
49203,AITraining,RegionC,RegionA,643,643,645.5,0.0,15.0,True
49204,RealTimeInference,RegionA,RegionB,359,359,361.5833333333333,0.0,12.0,True
49205,BatchInference,RegionC,RegionE,2007,2007,2010.0833333333333,0.0,70.0,True
49206,AITraining,RegionE,RegionD,2257,2257,2258.3166666666666,0.0,22.0,True
49207,RealTimeInference,RegionC,RegionA,46,46,47.0,0.0,15.0,True
49208,RealTimeInference,RegionC,RegionC,2050,2050,2050.85,0.0,5.0,False
49209,RealTimeInference,RegionA,RegionA,224,224,230.16666666666666,0.0,5.0,False
49210,BatchInference,RegionA,RegionC,2307,2307,2310.2,0.0,15.0,True
49211,RealTimeInference,RegionA,RegionC,87,87,92.41666666666667,0.0,15.0,True
49212,RealTimeInference,RegionB,RegionB,223,223,228.71666666666667,0.0,5.0,False
49213,BatchInference,RegionD,RegionB,1277,1277,1283.6,0.0,60.0,True
49214,AITraining,RegionF,RegionD,503,503,508.1166666666667,0.0,25.0,True
49215,BatchInference,RegionF,RegionF,2045,2045,2051.5666666666666,0.0,5.0,False
49216,AITraining,RegionC,RegionF,88,88,93.2,0.0,76.0,True
49217,RealTimeInference,RegionA,RegionB,338,338,344.56666666666666,0.0,12.0,True
49218,BatchInference,RegionC,RegionF,2316,2316,2322.516666666667,0.0,76.0,True
49219,RealTimeInference,RegionB,RegionC,224,224,228.56666666666666,0.0,14.0,True
49220,BatchInference,RegionD,RegionC,2102,2102,2105.35,0.0,58.0,True
