X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
536,-620.0000000000,-620.0000000000
537,-620.0000000000,-620.0000000000
538,-620.0000000000,-620.0000000000
539,-620.0000000000,-620.0000000000
540,-620.0000000000,-620.0000000000
541,-620.0000000000,-620.0000000000
542,-620.0000000000,-620.0000000000
543,-620.0000000000,-620.0000000000
544,-620.0000000000,-620.0000000000
545,-620.0000000000,-620.0000000000
546,-620.0000000000,-620.0000000000
547,-620.0000000000,-620.0000000000
548,-603.0775000000,-620.0000000000
549,-528.8058004233,-620.0000000000
550,-390.4840004166,-620.0000000000
551,-284.2123008432,-620.0000000000
552,-306.1482000067,-620.0000000000
553,-247.7198004166,-620.0000000000
554,-301.3866987335,-620.0000000000
555,-491.9897008432,-618.9675008333
556,-620.0000000000,-620.0000000000
557,-620.0000000000,-620.0000000000
558,-620.0000000000,-620.0000000000
559,-620.0000000000,-620.0000000000
560,-620.0000000000,-620.0000000000
561,-620.0000000000,-620.0000000000
562,-620.0000000000,-620.0000000000
563,-620.0000000000,-620.0000000000
564,-620.0000000000,-620.0000000000
565,-620.0000000000,-620.0000000000
566,-620.0000000000,-620.0000000000
567,-620.0000000000,-620.0000000000
568,-620.0000000000,-620.0000000000
569,-620.0000000000,-620.0000000000
570,-620.0000000000,-620.0000000000
571,-620.0000000000,-620.0000000000
572,-620.0000000000,-620.0000000000
573,-452.6749000033,-620.0000000000
574,-400.1686995767,-620.0000000000
575,-286.8230995734,-620.0000000000
576,-267.2236991601,-620.0000000000
577,-345.4230995734,-620.0000000000
578,-362.2366004233,-620.0000000000
579,-492.2090000100,-584.4171991534
580,-599.2518995767,-599.2518995767
581,-620.0000000000,-620.0000000000
582,-620.0000000000,-620.0000000000
583,-620.0000000000,-620.0000000000
584,-620.0000000000,-620.0000000000
585,-620.0000000000,-620.0000000000
586,-620.0000000000,-620.0000000000
587,-620.0000000000,-620.0000000000
588,-620.0000000000,-620.0000000000
589,-620.0000000000,-620.0000000000
590,-620.0000000000,-620.0000000000
591,-620.0000000000,-620.0000000000
592,-620.0000000000,-620.0000000000
