X_时间（h）,Y_设施负荷（MW）,Y_电网购电功率（MW）,Y_弃电功率（MW）,Y_新能源利用功率（MW）
552,2863.25379666,1934.8200166666668,1323.45002,1157.93378
553,3068.080582006667,2087.172116666667,1529.5597333333333,1210.4084666666668
554,3279.9132345900002,2168.5991266666665,1896.0441933333332,1311.3533066666669
555,3262.8504182566667,2163.7559466666667,2262.002726666667,1279.094473333333
556,3182.6662162433336,2135.13073,2734.5470133333333,1227.5353866666667
557,3222.606289543334,2024.827076666667,3380.5769866666665,1257.7792133333332
558,3253.40061005,1991.02385,3817.6232400000004,1262.3767599999999
559,3271.80080289,1968.8631800000003,4149.8423766666665,1302.9376233333332
560,3261.94396954,1946.7184766666667,4423.634506666666,1315.2254933333334
561,3212.16122576,1962.7321533333331,4669.250926666667,1249.4290733333335
562,2995.9743057566666,1836.8995166666666,4820.92521,1159.07479
563,2821.6999751066664,1659.5093533333334,4756.48938,1162.1906199999999
564,2518.9159875433334,1450.7361866666668,4670.6802,1068.1798
565,2356.1307753133333,1324.5868066666667,4421.236,1031.544
566,2214.46507045,1209.41163,4074.9466,1005.0534
567,2181.97415579,1145.3164800000002,3609.2422333333334,1036.6577666666667
568,1984.8571371,1078.0642699999999,3273.207033333333,906.7929666666668
569,2220.6622641733334,587.49,2644.7996366666666,1069.3003633333333
570,2211.364899113333,565.3085,2191.9946,1088.0053999999998
571,2106.0468595666666,590.26515,1945.00429,962.21571
572,2122.786012876667,655.67125,1772.7658366666667,884.1935633333331
573,2174.2595304466668,776.4558866666666,1629.0605566666668,910.8947433333333
574,2323.7691613333336,1381.9954933333336,1300.9397333333332,941.7736666666667
575,2513.2344299666665,1464.0047,1284.2742700000001,1049.22973
576,2765.9041817400002,1852.9761133333334,1351.4192333333333,1142.4280666666668
577,2969.1407566433336,2015.6983933333333,1527.6790366666667,1182.9423633333333
578,3298.8952853333335,2179.0286266666667,1871.28774,1319.9543600000002
579,3385.45840999,2230.8237466666665,2212.4361366666667,1334.6345633333333
580,3452.36916845,2299.9122,2675.6657333333333,1332.4569666666669
581,3389.79047488,2197.97605,3377.5464733333333,1251.8144266666666
582,3345.11247663,2079.9736966666665,3814.8612200000002,1265.13878
583,3309.51591962,2031.8801266666665,4175.144206666667,1277.6357933333334
584,3330.5546946566665,2014.6831533333334,4422.98846,1315.8715399999999
585,3296.5746141866666,1967.2465333333332,4589.35192,1329.3280800000002
586,3082.83141667,1840.4859166666665,4737.654500000001,1242.3455
587,2914.7131671266666,1702.0913799999998,4706.058213333334,1212.6217866666668
588,2633.3984966933335,1471.69825,4577.159793333333,1161.7002066666669
589,2484.841662436667,1361.3535466666667,4329.291883333333,1123.4881166666667
590,2397.73937175,1290.04644,3972.3069800000003,1107.69292
591,2070.3342837933333,1132.6469499999998,3708.212666666667,937.6873333333333
592,1923.8879467233332,1112.6812566666665,3368.7933000000003,811.2067
593,2121.4326524400003,603.06538,2738.8687266666666,975.2312733333334
594,2081.2432462066668,565.8836699999999,2325.6422233333333,954.357776666667
595,2079.792977533333,567.08637,1958.4539933333333,948.7660066666667
596,2036.858497576667,594.14226,1803.2800633333331,856.2236366666668
597,2070.087489973333,767.5103700000001,1677.5194800000002,843.0852199999999
598,2295.1510200433336,1285.9933066666667,1242.1403866666667,1009.1577133333333
599,2541.7405900366666,1440.9024399999998,1226.3703500000001,1100.83805
600,2746.299207943333,1839.1819333333333,1351.714426666667,1136.617273333333
601,2966.3228153666664,2050.05112,1571.1037033333334,1145.7716966666667
602,3191.551244166667,2137.8459366666666,1910.6177933333333,1253.6265066666667
603,3219.4527575533334,2119.9547233333333,2249.0635666666667,1279.4980333333333
604,3311.675180906667,2174.5782266666665,2702.2556466666665,1317.0969533333332
605,3309.41051084,2096.2520933333335,3393.6928833333336,1252.2071166666665
606,3253.8517229,1998.9072333333331,3825.05551,1254.9444899999999
607,3312.1263875566665,2006.0843466666665,4146.73796,1306.04204
608,3151.47589669,1877.5673699999998,4464.9514733333335,1273.9085266666666
609,3056.7573537233334,1814.35648,4676.279126666666,1242.4008733333333
610,2913.13163339,1659.1123966666669,4725.980763333333,1254.0192366666665
611,2749.5924999733334,1550.1557666666668,4719.243266666666,1199.4367333333332
612,2460.5389286733334,1419.20078,4697.5218,1041.3382000000001
613,2309.480820033333,1272.85346,4416.1527,1036.6273
614,2143.327483756667,1168.0090733333334,4104.68165,975.3183499999999
615,1962.42021002,1067.79493,3751.27475,894.6252499999999
616,1880.7141937833335,1028.8829600000001,3328.1688666666664,851.8311333333334
617,2306.3024733566667,614.59278,2592.0407066666667,1122.0592933333332
618,2343.69006488,612.6857799999999,2104.2633133333334,1175.7366866666666
619,2304.915563776667,640.36712,1827.0701566666664,1080.1498433333334
620,2223.174630026667,654.22446,1671.35573,985.9075699999999
621,2204.787263853333,801.6937866666667,1599.3514233333335,939.5467766666663
622,2318.04194175,1429.6976733333333,1362.4943333333335,888.3442666666666
623,2620.58620335,1555.41813,1280.9402266666666,1065.1680733333333
624,2929.57489671,1988.61229,1306.0280933333333,1170.4626066666665
625,3119.2031853166663,2110.5576866666665,1484.2998000000002,1238.1454999999999
626,3278.4783933366666,2214.484413333333,1925.7330200000001,1264.06638
627,3254.705780463333,2098.5527933333333,2195.745213333333,1336.1529866666667
628,3335.37083044,2118.91111,2582.61778,1396.4597200000003
629,3231.456367126667,2056.38468,3407.526813333333,1235.0716866666667
630,3144.7520612833337,2011.2256600000003,3946.4736000000003,1133.5264
631,3097.827332,1942.2030333333332,4297.1557,1155.6243
632,2985.96674708,1844.8048466666667,4597.6981,1141.1619
633,2889.8121704333334,1738.85127,4767.7191,1150.9609
634,2703.3530124666668,1585.8502133333332,4862.4972,1117.5028
635,2554.75316046,1459.39816,4823.325,1095.355
636,2284.8747612566667,1296.4763599999999,4750.4615,988.3985
637,2407.51066754,1357.8280333333332,4403.097366666667,1049.6826333333333
638,2483.003080403333,1365.3555133333334,3962.3524833333336,1117.6475166666667
639,2190.3295928766665,1143.9139533333334,3599.4843499999997,1046.41565
640,1929.3139499333333,998.2722333333332,3248.9582833333334,931.0417166666667
641,2315.3388232666666,615.8324200000001,2573.189596666667,1140.9104033333333
642,2195.2216286466664,569.95175,2229.6816200000003,1050.31828
643,2362.5837633266665,657.62334,1775.3013766666668,1131.9186233333332
644,2319.11311663,723.3186000000001,1645.6679833333333,1012.0693166666666
645,2172.57571338,798.1821466666668,1575.8008333333337,943.6104666666664
646,2378.7945275499997,1380.08792,1247.0109933333335,998.7066066666665
647,2520.1409909100003,1512.1007900000002,1316.9337,1008.0402
648,2959.310030843333,2029.0744400000003,1345.9008099999999,1159.7355900000002
649,3163.6994366833333,2168.09055,1488.2892133333335,1225.1088866666664
650,3323.6607133566667,2230.7281066666665,1899.9752933333334,1293.0840066666667
651,3306.4632571266666,2177.3945400000002,2211.6558833333333,1309.0687166666667
652,3363.421310036667,2188.7093133333333,2650.1053033333337,1354.7119966666664
653,3336.217855376667,2058.6295866666665,3326.00033,1319.8996700000002
654,3359.5347266333333,2047.8127899999997,3768.278063333333,1311.7219366666666
655,3130.3661084100004,1885.3423533333334,4207.756246666666,1245.0237533333336
656,3022.3870466333337,1800.89766,4517.3706133333335,1221.4893866666666
657,3030.6541042199997,1786.6619433333333,4674.68784,1243.99216
658,3010.8232475266664,1740.477213333333,4709.653966666667,1270.3460333333333
659,2817.40439248,1586.1711833333334,4687.44679,1231.2332099999999
660,2645.112447796667,1456.8801066666665,4550.627656666667,1188.2323433333336
661,2690.212741316667,1473.17524,4235.74248,1217.0375199999999
662,2505.854956636667,1369.0011733333333,3943.1462766666664,1136.8537233333336
663,2225.872153776667,1203.51817,3623.5460866666667,1022.3539133333334
664,1945.7480262266665,1034.5115133333331,3268.7634766666665,911.2365233333333
665,2129.23356708,610.17016,2738.9950933333334,975.1049066666666
666,2099.6052808766667,590.8819000000001,2321.17512,958.8248799999999
667,2124.1487466933336,578.9110000000001,1911.5510533333331,995.6690466666666
668,2262.015323793333,732.4981,1710.0460766666667,950.1271233333334
669,2176.842150093333,760.1908666666666,1590.1882166666667,926.0218833333333
670,2497.50317709,1475.2887400000002,1229.4113633333332,1022.2144366666668
671,2703.104760423333,1608.85996,1246.6344000000001,1094.2448
672,2975.4933446666664,1968.82406,1242.865716666667,1236.1692833333332
673,3175.373927516667,2173.1501433333333,1502.1587166666666,1231.7237833333334
674,3236.555103373333,2183.7656566666665,1943.8419533333333,1252.8459466666666
675,3271.93929915,2174.1945466666666,2247.8081466666667,1277.744753333333
676,3364.17726247,2226.817493333333,2684.86043,1317.3597699999998
677,3450.9016862300005,2127.7901266666668,3275.82884,1370.0711600000002
678,3345.0778786399997,2051.67632,3786.59844,1293.4015599999998
679,3274.0074095133336,2001.0780233333332,4179.850613333333,1272.9293866666667
680,3127.53667709,1894.3396199999997,4505.662943333333,1233.1970566666669
681,2887.9164800333333,1706.54318,4737.3067,1181.3733
682,2760.7506571833333,1605.4805366666665,4824.72988,1155.27012
683,2564.0494295500002,1487.52943,4842.16,1076.52
684,2450.6370428866667,1312.7256266666666,4600.948583333333,1137.9114166666666
685,2317.9019804199997,1277.8365999999999,4412.7147,1040.0653
686,2054.45969085,1112.0959166666667,4137.636326666667,942.3636733333333
687,1936.8357433433334,1101.73902,3810.803266666667,835.0967333333333
688,2027.6698637700001,1155.6460533333334,3307.9761399999998,872.02386
689,2301.5307013266665,608.89835,2579.7092500000003,1134.3907499999998
690,2323.4995933,656.1526200000001,2160.2237266666666,1119.7762733333334
691,2396.2209133300003,675.7106,1768.2820866666668,1138.9379133333332
692,2292.2352799833334,704.99278,1640.038,1011.9166
693,2044.9770137666667,781.0675799999999,1693.1407666666669,826.3030333333334
694,2275.4124937133333,1375.0316433333335,1348.25925,900.38085
695,2398.6796566666667,1445.4008233333334,1355.1144666666667,953.2788333333334
696,2693.29936799,1878.459,1450.0091333333332,1044.3403666666668
697,2907.811136686667,1988.5125033333334,1596.6159666666667,1148.7986333333333
698,2890.049850903333,1915.319,2017.56785,1174.7427500000001
699,3065.5455433199995,1982.0520933333332,2275.74245,1263.49345
700,3194.78305708,2100.342756666667,2749.4343,1274.4403000000002
701,3153.15396994,1933.7313699999997,3383.2565999999997,1262.6434
702,3273.3033815466665,1993.2129666666665,3799.9096833333333,1280.0903166666665
703,3321.199715363334,2049.8804666666665,4181.46075,1271.3192500000002
704,3266.3909095400004,1995.6345766666666,4468.103666666666,1270.7563333333335
705,3160.123406243333,1843.7350533333333,4602.291646666667,1316.3883533333333
706,3044.2929580000005,1739.1390066666665,4674.84605,1305.1539500000001
707,2876.9218166733335,1632.9335166666667,4674.691699999999,1243.9883
708,2473.962223333333,1400.9813,4665.8790266666665,1072.9809733333334
709,2288.1561862533335,1295.6667566666667,4460.2906,992.4893999999999
710,2166.8969091233334,1231.69254,4144.79554,935.20446
